id,category,metric,result
0001,Demographics,Number Of Patients,1777835
0002,Demographics,% Patients Deceased,7.36
0003,Demographics,% Patients Aged 0-1,0
0004,Demographics,% Patients Aged 2-17,0
0005,Demographics,% Patients Aged 18-40,1.87
0006,Demographics,% Patients Aged 41-64,8.12
0007,Demographics,% Patients Aged 65-80,63.34
0008,Demographics,% Patients Aged 81-100,26.15
0009,Demographics,% Patients Aged 101 And Greater,0.52
0010,Demographics,% Patients -- Sex = Female,54.05
0011,Demographics,% Patients -- Sex = Male,45.95
0012,Demographics,% Patients -- Sex = Unknown,0
0013,Enrollment,Total Member Months,34627851
0014,Enrollment,Members With Claims Without Enrollment,30
0015,Enrollment,Average Member Months,19.48
0016,Enrollment,Max Member Months,24
0017,Chronic Disease,% Autoimmune Disease -- Crohn's Disease,0.57
0018,Chronic Disease,% Autoimmune Disease -- Lupus,1.51
0019,Chronic Disease,% Autoimmune Disease -- Rheumatoid Arthritis,3.38
0020,Chronic Disease,% Autoimmune Disease -- Type 1 Diabetes,56.19
0021,Chronic Disease,% Autoimmune Disease -- Ulcerative Colitis,0.82
0022,Chronic Disease,% Cancer -- Breast Cancer,4.82
0023,Chronic Disease,% Cancer -- Colorectal Cancer,1.23
0024,Chronic Disease,% Cancer -- Lung Cancer,1.65
0025,Chronic Disease,% Cardiovascular Disease -- Acute Myocardial Infarction,7.47
0026,Chronic Disease,% Cardiovascular Disease -- Atherosclerosis,29.2
0027,Chronic Disease,% Cardiovascular Disease -- Atrial Fibrillation,32
0028,Chronic Disease,% Cardiovascular Disease -- Heart Failure,27
0029,Chronic Disease,% Cardiovascular Disease -- Hypertension,67.74
0030,Chronic Disease,% Cardiovascular Disease -- Stroke / Transient Ischemic Attack,6.54
0031,Chronic Disease,% Mental Health -- Anxiety,23.4
0032,Chronic Disease,% Mental Health -- Attention-Deficit Hyperactivity Disorder (ADHD),0.98
0033,Chronic Disease,% Mental Health -- Bipolar,2.34
0034,Chronic Disease,% Mental Health -- Depression,15.14
0035,Chronic Disease,% Mental Health -- Obsessive-Compulsive Disorder (OCD),0.41
0036,Chronic Disease,% Mental Health -- Personality Disorder,1.54
